11603,unknown,BILBAO PORT 
1178,anti-pollution,MARPOL 46 
1234500,fishing,TEST 
205204000,militaryops,NATO WARSHIP A960 
205277430,sailingvessel,NEREUS
205309000,dredger,LANGE WAPPER 
205366000,tanker-hazarda(major),TEMSE 
205395000,cargo,MINERAL NOBLE 
205439000,cargo,MARCEL 
205476000,cargo-hazarda(major),CELANDINE 
205519000,cargo,MINERAL KYOTO 
205520000,dredger,BREYDEL 
205554000,cargo,MINERAL NINGBO 
205561000,unknown,ZARECHENSK 
205655000,tanker,WAASMUNSTER 
205656000,cargo,MARLEY 
205657000,tanker,ILMA 
205677000,tanker,HOJO 
205688000,cargo,MAREMKA 
205734400,sailingvessel,MERENA
205880600,sailingvessel,SAILON 
207137000,cargo,PHOENIX 
207138000,cargo,PEACE 
209015000,cargo,TUNDRA 
209055000,tanker,SPARTO 
209058000,cargo,CAPE VENTURE 
209073000,cargo,PARANDOWSKI 
209177000,cargo,WEC VERMEER 
209179000,cargo,SEA PROSPECT 
209182000,cargo,SHOVELER 
209185000,cargo,SEA DISCOVERY 
209204000,cargo-hazardb,PICTOR J 
209211000,cargo,FRI PORSGRUNN 
209263000,cargo,ORIENT TRIBUNE 
209273000,cargo,ALTAMAR 
209283000,cargo-hazarda(major),OPDR TENERIFE 
209294000,tanker,TWO MILLION WAYS 
209297000,cargo,FRI SKIEN 
209299000,cargo,CAPE IOANNA 
209304000,cargo,RMS ROTTERDAM 
209351000,cargo-hazarda(major),EM CORFU 
209366000,cargo,SZAFIR 
209368000,cargo,GRANAT 
209384000,cargo,EMERALD 
209448000,tanker,PANTELIS 
209478000,cargo-hazarda(major),PANTONIO 
209487000,cargo,FRI LANGESUND 
209533000,cargo,SIRIUS 
209570000,cargo,ASIAN MOON 
209666000,cargo,SILVER 
209672000,tanker-hazardb,ARAGONITH 
209703000,cargo,LANCELOT 
209718000,cargo,RABA 
209721000,cargo,ODYSSEAS I 
209734000,cargo,PATRIA 
209756000,cargo,PANAGIA STENION 
209760000,tanker,LOTUS 
209840000,cargo-hazarda(major),WMS GRONINGEN 
209889000,cargo,XENIA 
209995000,cargo,KMAX VISION 
210029000,cargo,ELENI 
210031000,cargo,HELAS 
210041000,cargo,RMS BREMEN 
210117000,cargo,NORDBALTIC 
210122000,cargo-hazardd(recognizable),MARNEDIJK 
210224000,tanker,TULIP 
210234000,cargo,UBC SANTA MARTA 
210267000,cargo,ONYX 
210318000,tanker,LEENI 
210329000,cargo,ELISE 
210334000,unknown,STANISLAV YUDIN 
210434000,cargo,SYLVE 
210449000,tanker-hazardb,M/T MARKOS 1 
210481000,cargo-hazarda(major),CMA CGM SAMBHAR 
210505000,cargo-hazarda(major),PENGALIA 
210621000,dredger,WILLEM VAN ORANJE 
210720000,cargo,HARMONY N 
210745000,tanker-hazardb,AMONITH 
210761000,cargo,SALT LAKE CITY 
210852000,cargo,FRI KARMSUND 
210857000,tanker,N.MARS 
210914000,cargo,VELVET 
210974000,cargo,NOVOMAR 
210989000,cargo,DARIA 
211135000,tanker,SEASHARK 
211158080,sailingvessel,ANTHANA
211160630,sailingvessel,CHARLY
211202460,unknown,POLARSTERN 
211210150,militaryops,SACHSEN 
211210280,sailingvessel,GORCH FOCK 
211211220,militaryops,BAD RAPPENAU 
211211730,militaryops,FGS BERLIN 
211215170,sailingvessel,ROALD AMUNDSEN 
211232180,sailingvessel,IZAR
211233870,cargo,FORESTER 
211271630,unknown,MORWAZ 2
211286440,cargo,HANNI 
211311970,cargo,DALLAS EXPRESS 
211330520,tanker,SEATURBOT 
211366340,tug,MISTRAL 
211378810,cargo,CONTI PARIS 
211379750,tanker,SEAMULLET 
211387420,sailingvessel,BALEMENA
211394240,cargo,MSC ALESSIA 
211397660,tanker,SEALING 
211409100,tanker,SEAHAKE 
211422510,tanker,SEARAY 
211447460,pleasurecraft,TAMTAM
211472000,tanker,HORNISSE 
211522970,sailingvessel,CROIX DU SUD
211545370,sailingvessel,SUNRISE
211549000,cargo,BASLE EXPRESS 
211552340,sailingvessel,SKIATHOS
211560760,sailingvessel,HERA
211578000,cargo,ULSAN EXPRESS 
211611040,unknown,JANDIA SOLO SAILOR
211617730,sailingvessel,HANNAH
211625170,pleasurecraft,SLOWLY
211627970,cargo-hazarda(major),HANSA EUROPE 
211633320,sailingvessel,SIRIUS
211651000,cargo-hazarda(major),SANTA GIOVANNA 
211668500,sailingvessel,SY HABIBY
211681870,cargo,SAMIA-B 
211707600,pleasurecraft,LENA
211830000,cargo-hazarda(major),MSC TEXAS 
211839000,cargo,CHICAGO EXPRESS 
211852000,tanker,AURELIA 
211881000,tanker,SEATROUT 
212044000,cargo,ORION EXPRESS 
212058000,cargo,CINNAMON 
212065000,tanker,BALTIC FAITH 
212084000,tanker,VENUS R 
212097000,tanker,RN ARKHANGELSK 
212105000,cargo-hazarda(major),NILEDUTCH IMPALA 
212109000,cargo,CEMVALE 
212123000,tanker,STOC MARCIA 
212125000,cargo,UBC SANTOS 
212136000,cargo,ALSTERDIEP 
212137000,tanker,ANTRACYTH 
212157000,cargo-hazarda(major),HELMUT 
212182000,tanker,BALTIC ADVANCE 
212186000,tanker,BALTIC FORCE 
212193000,cargo-hazarda(major),CHOPIN 
212208000,cargo,AMURDIEP 
212227000,tanker,BALTIC MERCHANT 
212240000,tanker,BALTIC MONARCH 
212274000,tanker-hazardd(recognizable),DONATA SCHULTE 
212280000,cargo,WLADYSLAW ORKAN 
212301000,cargo,THEBE 
212333000,cargo-hazarda(major),MSC ANAHITA 
212340000,cargo,MACCOA 
212360000,cargo,CEMSOL 
212369000,cargo,VISURGIS 
212371000,tanker-hazardb,BALTIC FREEDOM 
212373000,cargo,FORLINE 1 
212376000,cargo,MARTEN 
212385000,cargo,SWE-CARRIER 
212416000,cargo,CSL VIRGINIA 
212423000,cargo,WIDOR 
212450000,cargo,ANDEAN 
212466000,other,AETHRA 
212503000,cargo,PUR NAVOLOK 
212518000,cargo,TRANSMAR 
212521000,cargo,BORNHOLM 
212542000,cargo,CEMBAY 
212555000,cargo,MARTINE 
212600000,tanker,JULIA 
212605000,cargo-hazarda(major),SAMSKIP HOFFELL 
212617000,cargo,DORINE 
212641000,cargo,WEC VAN GOGH 
212667000,cargo,ESL EUROPA 
212735000,cargo,MOTTLER 
